maturity,log_moneyness,map_log_variance,sd_log_variance,lower_log_variance,upper_log_variance,volatility_median,volatility_mean,volatility_lower,volatility_upper,volatility_interval_width
1.05,0.0,-3.086496327186722,0.0748836801387743,-3.233265643288537,-2.939727011084907,0.21368588623579773,0.21383572094446204,0.19856618243689214,0.22995687088303857,0.031390688446146425
1.05,0.08750000000000002,-3.1468525714717237,0.06248142926138393,-3.2693139225266235,-3.024391220416824,0.2073335798891392,0.20743478152684777,0.19501925898622527,0.22042547783797276,0.025406218851747486
1.05,0.17499999999999993,-3.059136484870273,0.061378655302153154,-3.1794364386819916,-2.9388365310585542,0.21662917841404286,0.21673121689089883,0.20398308212411764,0.23005927967981576,0.026076197555698122
1.05,0.26249999999999996,-3.1150831973193633,0.07486058656167284,-3.2618072508417852,-2.9683591437969414,0.2106533055241285,0.21080092269107206,0.19575260715099435,0.22668824581229297,0.030935638661298615
1.05,0.35,-3.107090747023943,0.08760501434448334,-3.278793420004245,-2.935388074043641,0.21149680785117028,0.21169980039803635,0.1940971038176675,0.2304562966238513,0.0363591928061838
1.525,-0.35,-3.197438297106147,0.12106949587045063,-3.434730148638651,-2.960146445573643,0.20215528312632788,0.20252601719779423,0.17953859606270386,0.22762102072811724,0.048082424665413376
1.525,-0.26249999999999996,-3.1557035575919596,0.11428361463837629,-3.3796953263062317,-2.9317117888776876,0.20641805389139845,0.20675532581507705,0.1845476352565992,0.23088029772404606,0.046332662467446856
1.525,-0.175,-3.128550065253567,0.1093565361358439,-3.3428849375538743,-2.91421519295326,0.20923965012024234,0.20955266727074004,0.18797572087443729,0.2329089681304434,0.044933247256006115
1.525,-0.08750000000000002,-3.1853370373645205,0.10187086591212294,-3.3850002656261906,-2.9856738091028503,0.2033821578604111,0.2036461582544728,0.18405877688088235,0.22473420087283857,0.04067542399195623
1.525,0.0,-3.2746204549703326,0.09074767023078444,-3.452482620303588,-3.0967582896370773,0.1945025068174368,0.19470282931827904,0.17795202096722937,0.21259227601148648,0.03464025504425711
1.525,0.08750000000000002,-3.305798029616438,0.08010777165864844,-3.4628063769491475,-3.1487896822837285,0.19149395933371638,0.19164762915704797,0.1770358209784783,0.20713286304787362,0.030097042069395313
1.525,0.17499999999999993,-3.307154870927681,0.07409941489978542,-3.452387055406751,-3.1619226864486105,0.1913640899343003,0.191495475925048,0.1779605241536421,0.20577718058847097,0.027816656434828863
1.525,0.26249999999999996,-3.222901660480134,0.08088956946219693,-3.381442303350991,-3.064361017609277,0.19959782135088555,0.1997611372522038,0.18438650539815618,0.21606402378521575,0.03167751838705957
1.525,0.35,-3.1231332027583476,0.08756858872088832,-3.294764482828289,-2.951501922688406,0.20980712946936764,0.21000833277669873,0.19255330751888428,0.22860698755776462,0.03605368003888035
2.0,-0.35,-3.2201593370584995,0.13001369530711923,-3.4749814973574176,-2.9653371767595815,0.19987168995724983,0.20029445435105067,0.17596137844487836,0.2270310269186788,0.05106964847380044
2.0,-0.26249999999999996,-3.2021997185676425,0.12709751381607196,-3.4513062681717255,-2.9530931689635596,0.20167458230635418,0.20208221952723623,0.17805671887422955,0.22842517488582706,0.05036845601159751
2.0,-0.175,-3.152922754852332,0.12393239778777515,-3.3958257910340626,-2.9100197186706014,0.20670525745412802,0.20710249309663367,0.18306520181688676,0.2333980627400483,0.050332860923161526
2.0,-0.08750000000000002,-3.139264912681817,0.11411013476990549,-3.362916667101844,-2.9156131582617903,0.2081216620985614,0.20846068514394026,0.1861023787050202,0.23274622568539652,0.046643846980376324
2.0,0.0,-3.134897254221222,0.10106877884625316,-3.3329884207213216,-2.936806087721122,0.20857666090673058,0.20884315467448167,0.1889081784351747,0.23029295944394532,0.041384781008770605
2.0,0.08750000000000002,-3.1030945946497233,0.09004517838695793,-3.279579901269645,-2.9266092880298014,0.21191981704815727,0.21213471021690544,0.19402079195520291,0.23147008320682264,0.03744929125161972
2.0,0.17499999999999993,-3.0988098124038674,0.0821393427992681,-3.2597999660042225,-2.9378196588035124,0.21237431886946653,0.21255350220029043,0.19594917139472476,0.23017627987011782,0.034227108475393064
2.0,0.26249999999999996,-3.1080634555839195,0.08259719723875163,-3.269950987395824,-2.946175923772015,0.21139397048319217,0.2115743214288556,0.194957148919427,0.22921657915256743,0.03425943023314043
2.0,0.35,-3.1031491414705896,0.09425068401114775,-3.2878770876507044,-2.918421195290475,0.21191403735082437,0.21214947716292631,0.1932175459413916,0.23241967497065888,0.039202129029267285
