maturity,log_moneyness,strike,true_call_price,observed_call_price,map_call_price,latent_price_sd,observed_predictive_sd,latent_lower,latent_upper,observed_lower,observed_upper
0.5,0.1499999999999999,116.1834242728283,1.4266515073373127,1.421596416062444,1.4202505939756194,0.006686218351854671,0.01202936057522087,1.4071458468132134,1.4333553411380253,1.3966734804911405,1.4438277074600983
0.5,0.1999999999999999,122.14027581601698,0.765332269543708,0.7525009778442018,0.7624009218278335,0.006024041058606204,0.011674291013837773,0.7505940183115748,0.7742078253440922,0.7395197318956719,0.7852821117599951
0.5,0.2499999999999999,128.40254166877415,0.382154004204022,0.3688507199542282,0.37834593595465904,0.005734150005568205,0.011527379419727531,0.36710720846179523,0.38958466344752285,0.35575268745586486,0.4009391844534532
0.5,0.3,134.9858807576003,0.1770859337186824,0.1853458595624735,0.17255613799063335,0.005236747494316051,0.01128820288262155,0.16229230150564353,0.18281997447562318,0.1504316668905139,0.1946806090907528
1.0,-0.3,74.08182206817179,26.571407842946527,26.538563588036087,26.528068658802113,0.02973450462339705,0.13614379763361906,26.469790100642115,26.58634721696211,26.26123171872171,26.794905598882515
1.0,-0.25,77.8800783071405,23.20981321443502,23.012563907061008,23.16969015602714,0.033758412887804415,0.12085948939544443,23.10352488259181,23.23585542946247,22.93280990962217,23.406570402432113
1.0,-0.2,81.87307530779819,19.883033767741612,19.75029932013233,19.852949194931096,0.03490274017477522,0.10536402169116689,19.784541081226777,19.921357308635415,19.646439507150113,20.05945888271208
1.0,-0.15,86.07079764250578,16.660872109262186,16.635910883171448,16.643238570433265,0.03318755582860067,0.08967179237589848,16.578192156274294,16.708284984592236,16.467485086947352,16.818992053919178
1.0,-0.1,90.48374180359596,13.622337091929603,13.69826846874928,13.61729555811699,0.02986033287699042,0.07436962535658426,13.55877038111171,13.675820735122269,13.471533770874348,13.76305734535963
1.0,-0.05,95.1229424500714,10.836425776846518,10.754805338569088,10.833206681532314,0.025252309442932386,0.0597777736506571,10.783713064497706,10.882700298566922,10.716044398101038,10.95036896496359
1.0,0.0,100.0,8.369329726105644,8.435870587411484,8.348223424723669,0.022055459680195177,0.047303121496489034,8.304995518088012,8.391451331359326,8.255511010234228,8.44093583921311
1.0,0.0499999999999999,105.12710963760242,6.264960932742518,6.249695566775029,6.244899277137133,0.016584482076468024,0.035444159363207266,6.2123942895650055,6.2774042647092605,6.175430001322948,6.314368552951318
1.0,0.0999999999999999,110.51709180756475,4.537436545471651,4.498616457487974,4.520015703324152,0.013603398463669474,0.026452990565641255,4.493353532268012,4.546677874380292,4.468168794532117,4.5718626121161865
1.0,0.1499999999999999,116.1834242728283,3.174405351639094,3.1825491332537927,3.171763479956204,0.009435280992350682,0.018464716646011247,3.1532706690271812,3.1902562908852268,3.1355733003452846,3.2079536595671234
1.0,0.1999999999999999,122.14027581601698,2.144835992350686,2.160247624702923,2.151324071968984,0.00748809212857214,0.013079738513367046,2.1366476810840647,2.166000462853903,2.125688255555583,2.1769598883823846
1.0,0.2499999999999999,128.40254166877415,1.3996707727672644,1.3974527316751997,1.4051043947688173,0.006550495629281744,0.011954454943210052,1.3922656592545382,1.4179431302830965,1.381674093625319,1.4285346959123157
1.0,0.3,134.9858807576003,0.881461670836945,0.8879498358531879,0.8833875689955083,0.0076284694496386255,0.012577501585929927,0.8684360436170525,0.8983390943739641,0.8587361188715902,0.9080390191194264
1.5,-0.3,74.08182206817179,27.241437373135263,27.19813830778869,27.20392017556786,0.036858650313901925,0.1411061935452295,27.131678548433854,27.276161802701864,26.92735711822367,27.480483232912047
1.5,-0.25,77.8800783071405,24.08461195501081,24.08328991993079,24.06882484944168,0.03738826891305443,0.1260936000671767,23.995545188927792,24.142104509955566,23.821685934629016,24.31596376425434
1.5,-0.2,81.87307530779819,20.979494510763757,21.154192492767237,20.99025397457529,0.03647076002997653,0.11105672462909791,20.918772598427733,21.061735350722845,20.772586794061276,21.207921155089302
1.5,-0.15,86.07079764250578,17.97784334258526,18.058364883502723,18.01143121402133,0.03455428392412317,0.09630197203989307,17.943706062018475,18.079156366024183,17.822682817182955,18.200179610859703
1.5,-0.1,90.48374180359596,15.13562378584722,15.044613190092068,15.185364785735304,0.03190467643912925,0.08212847291501973,15.122832768976208,15.2478968024944,15.024395936716592,15.346333634754016
1.5,-0.05,95.1229424500714,12.498919463874191,12.673881033051805,12.55179125256283,0.028134695303985234,0.06853565330511127,12.49664826305101,12.60693424207465,12.417463840427889,12.686118664697773
1.5,0.0,100.0,10.113817409370318,10.062176447467152,10.149137084516317,0.025180039815016195,0.05649129994820304,10.0997851133496,10.198489055683034,10.038416171177989,10.259857997854645
