number_of_evaluation_points,rmse,mae,maximum_absolute_error,bias,seed,method,shared_valid_fraction
71,0.011818528535354337,0.009040923284684763,0.025424546620451488,-0.009040923284684763,6,constant_reference,0.9102564102564102
71,0.03933327776666364,0.022674730221342133,0.14435276845463335,-0.008745006851972792,6,raw_dupire,0.9102564102564102
71,0.016398591398766336,0.011788360693562918,0.051367912556815915,-0.003517019612171801,6,smoothed_dupire,0.9102564102564102
71,0.0009737454322907482,0.0008066515954073378,0.0024357220056479834,1.3803170394592045e-05,6,ssvi_dupire,0.9102564102564102
71,0.0045639530571832294,0.004021343530486983,0.008512332997725414,0.0010494910586081874,6,operator_regularized_linearized,0.9102564102564102
72,0.011951660681078433,0.009181618747150672,0.025424546620451488,-0.009181618747150672,7,constant_reference,0.9230769230769231
72,0.03787231878999047,0.02023522133162736,0.22279824315736566,0.0005744195248431998,7,raw_dupire,0.9230769230769231
72,0.17177824721601637,0.036497597045047216,1.4246957393746214,0.023827792913966445,7,smoothed_dupire,0.9230769230769231
72,0.0011617658365562296,0.0009950750514139382,0.0023469013159748975,0.00018333239304763898,7,ssvi_dupire,0.9230769230769231
72,0.005979125063020179,0.004774193550256734,0.017529674015199143,-8.99146568120773e-05,7,operator_regularized_linearized,0.9230769230769231
71,0.012317271461333405,0.009390890667674965,0.027224546620451484,-0.009390890667674965,8,constant_reference,0.9102564102564102
71,0.049922849807757325,0.02676813563637085,0.23438695395815037,-0.006165981321541968,8,raw_dupire,0.9102564102564102
71,0.02270801177637795,0.01461122927867798,0.07707563934218747,-0.0021952564171374474,8,smoothed_dupire,0.9102564102564102
71,0.0010530443512163778,0.0008993763564393571,0.002444180886234798,0.0002645744389984145,8,ssvi_dupire,0.9102564102564102
71,0.005428961301611042,0.004586939071923999,0.015074326658327863,0.0001205129078396648,8,operator_regularized_linearized,0.9102564102564102
73,0.012053003353394473,0.009261464540668127,0.025424546620451488,-0.009261464540668127,9,constant_reference,0.9358974358974359
73,0.03269436154674122,0.019918334703795566,0.11081746853459525,-0.009443958507189727,9,raw_dupire,0.9358974358974359
73,0.025751220253553673,0.015612345308415333,0.11544015311500669,-0.0018240988173826875,9,smoothed_dupire,0.9358974358974359
73,0.0016056711698474399,0.0011880276475843398,0.004708918978998972,-4.8782835661487e-05,9,ssvi_dupire,0.9358974358974359
73,0.005828578392932004,0.00470538317177808,0.013089902463396363,0.0009443519158720336,9,operator_regularized_linearized,0.9358974358974359
