maturity,log_moneyness,true_local_volatility,constant_reference,raw_dupire,smoothed_dupire,ssvi_dupire,operator_regularized,shared_valid
0.5,-0.06,0.2109946612799219,0.2,0.22515237444292424,0.23274548043363905,0.20122420634586927,0.22358857537493765,True
0.5,-0.03,0.2030256576577971,0.2,0.21856550420223897,0.20982432510518031,0.19674161866348897,0.20549019981330835,True
0.5,0.0,0.19485415105534584,0.2,0.19481152184482056,0.19180509386318828,0.1926402428195708,0.18739182425167905,True
0.5,0.03,0.187911836547142,0.2,0.1914574427213904,0.19090237121752873,0.1889705469249476,0.18550218569970933,True
0.5,0.06,0.18298195164193132,0.2,0.1912211206466798,0.1948711099241906,0.18577964991693574,0.18361254714773956,True
0.5,0.1,0.179640169045166,0.2,0.18580118964797238,0.18948255281260792,0.1823391398824505,0.18174340502708694,True
0.5,0.14,0.1790646587434918,0.2,0.18005315005649686,0.17746951358880164,0.17989109292437033,0.179687950894133,True
0.5,0.18,0.1798632679037377,0.2,0.17166849158071254,0.16859968407085668,0.17846629219384977,0.17449234276602604,True
0.5,0.23,0.1811129916382405,0.2,0.1605486861540732,0.16656150015008667,0.1781008679825347,0.17371813548630635,True
0.5,0.28,0.18179715749682823,0.2,0.18362855362292785,0.16267034428031074,0.17919857316387258,0.17822182592774616,True
0.5,0.34,0.18206104374606122,0.2,0.3096629863173235,0.13836558278349262,0.1821839054909231,0.1836112487346783,True
0.75,-0.32,0.21608263550784326,0.2,0.18994056849788016,0.22904852288941424,0.22580770991804422,0.21769888880238436,True
0.75,-0.27,0.21063331342937444,0.2,0.22163286757333497,0.22424448548458603,0.2177528226349191,0.22161045813468594,True
0.75,-0.22,0.20563539320691912,0.2,0.2157472863815066,0.2109498603594326,0.20988004594661808,0.216425897846714,True
0.75,-0.18,0.20178121771307167,0.2,0.20323019583234647,0.20454507133975383,0.20377328072305761,0.20712476818589354,True
0.75,-0.14,0.19762852985465829,0.2,0.1868327585929674,0.20264992636144546,0.19789618654739594,0.19438798423811113,True
0.75,-0.1,0.19259530559195728,0.2,0.19752528047832682,0.2034839206848844,0.19231212297493977,0.19531983968619648,True
0.75,-0.06,0.18629351804836092,0.2,0.207600992177259,0.19634481617102603,0.18709151682581768,0.1944181794944519,True
0.75,-0.03,0.1808940900527611,0.2,0.1944842469864417,0.1849564470647239,0.1834598897361607,0.18368517429919756,True
0.75,0.0,0.17544488982671802,0.2,0.17324779466514537,0.17545951755958472,0.1801078094005528,0.17295216910394326,True
0.75,0.03,0.17067801709692906,0.2,0.17145683174848575,0.17487504123361425,0.17706741752875732,0.17130812405804102,True
0.75,0.06,0.16732857713371835,0.2,0.17754751338751054,0.1774513895374301,0.17436899376913736,0.1696640790121388,True
0.75,0.1,0.16578873811124384,0.2,0.17347911524723128,0.17606112938347707,0.1713489502252649,0.1699005366593972,True
0.75,0.14,0.16729977305099678,0.2,0.17544609437830946,0.17074989943508176,0.16903409455115087,0.1704743711897955,True
0.75,0.18,0.17041759241118007,0.2,0.1688322544275395,0.16752833391195743,0.1674537506358235,0.16862043282441497,True
0.75,0.23,0.17413642179303515,0.2,0.1661632183490162,0.17119033390846491,0.16651710003794784,0.17301330163773596,True
0.75,0.28,0.17628177056697703,0.2,0.17016026808089058,0.1795897058169887,0.16669231439646656,0.1819413236298871,True
0.75,0.34,0.1772195524506733,0.2,0.2167088652498528,0.17605409951995302,0.16823699716044516,0.1822034875228275,True
1.0,-0.32,0.21360178748300696,0.2,0.3547774106083521,0.22264452323909223,0.22093479331575058,0.21086565491271275,True
1.0,-0.27,0.2080804797113543,0.2,0.2562257572380433,0.23745388551493488,0.21370031101412684,0.21666867762347106,True
1.0,-0.22,0.20291963860757556,0.2,0.2308194167620789,0.23840190344240053,0.20664919699649545,0.21458077622074,True
1.0,-0.18,0.198933505126963,0.2,0.20784163122456348,0.21330348663661938,0.2011900358299326,0.20606937626816246,True
1.0,-0.14,0.19485535555715736,0.2,0.19216018934150675,0.18877707709525798,0.19594019045359742,0.19299725709532314,True
1.0,-0.1,0.19038545729457051,0.2,0.18981002098467709,0.18128056827175582,0.1909494343385167,0.18589397719433026,True
1.0,-0.06,0.18530019123178976,0.2,0.17300505502514657,0.17431728837268906,0.18627209572636302,0.18036216860883184,True
1.0,-0.03,0.18115823572316198,0.2,0.18284236550391406,0.1773145243127935,0.18300425589352579,0.17893811302557597,True
1.0,0.0,0.17704211900891184,0.2,0.18832605854363837,0.182008435982822,0.17996965200488152,0.17751405744232013,True
1.0,0.03,0.1734067808177261,0.2,0.17290157756355148,0.17732324493396676,0.17719251067677527,0.17464422924187029,True
1.0,0.06,0.1707274505498418,0.2,0.17158083142529232,0.1707432130185397,0.17469578834598806,0.17177440104142044,True
1.0,0.1,0.16912715542493398,0.2,0.1745602717461989,0.1691785997395241,0.17183848850754938,0.16835063703284886,True
1.0,0.14,0.16960847681590716,0.2,0.17056055053363428,0.17128032984338468,0.16955641485904324,0.16549072586930053,True
1.0,0.18,0.1712337180881191,0.2,0.16472988183408757,0.17239627663933438,0.16787629361386963,0.16679947472889778,True
1.0,0.23,0.17327199368014232,0.2,0.18257213370496655,0.17624822895089176,0.1666374277478264,0.17374972254971918,True
1.0,0.28,0.17441123465604885,0.2,0.20364619413050572,0.1841038649199949,0.1663386637798669,0.18337978267795182,True
1.0,0.34,0.17488415623399753,0.2,0.2064625460801628,0.20665484457688707,0.16714278138929806,0.18091390559758663,True
1.35,-0.32,0.21204973413596173,0.2,,0.27049949706695753,0.2222589080773934,0.20104837211588658,False
1.35,-0.27,0.20654095549110452,0.2,0.3184628423681112,0.229824778287134,0.21570616012340071,0.20615757814964764,True
